module	class	seconds	why
module/spring-boot-session-jdbc	org.springframework.boot.session.jdbc.autoconfigure.JdbcSessionAutoConfigurationTests	900	several database-backed contexts; validated JIT-on time ~14 min
module/spring-boot-cache	org.springframework.boot.cache.autoconfigure.CacheAutoConfigurationTests	600	contextrunner-resource-cycle cluster: slow, never deadlocked
module/spring-boot-hibernate	org.springframework.boot.hibernate.autoconfigure.HibernateJpaAutoConfigurationTests	1200	CPU-bound full JPA auto-configuration, ~9.5 min on both modes
module/spring-boot-security	org.springframework.boot.security.autoconfigure.actuate.web.servlet.JerseyEndpointRequestIntegrationTests	600	contextrunner-resource-cycle cluster
module/spring-boot-security	org.springframework.boot.security.autoconfigure.actuate.web.servlet.MvcEndpointRequestIntegrationTests	700	contextrunner-resource-cycle cluster
module/spring-boot-security	org.springframework.boot.security.autoconfigure.actuate.web.reactive.EndpointRequestIntegrationTests	1000	contextrunner-resource-cycle cluster
module/spring-boot-micrometer-tracing-opentelemetry	org.springframework.boot.micrometer.tracing.opentelemetry.autoconfigure.OpenTelemetryTracingAutoConfigurationTests	1400	contextrunner-resource-cycle cluster
module/spring-boot-webmvc	org.springframework.boot.webmvc.autoconfigure.WebMvcAutoConfigurationTests	7200	WEBMVC.1: 93 methods, each its own Spring context; CPU-sampled, not a deadlock
module/spring-boot-webmvc	org.springframework.boot.webmvc.autoconfigure.error.BasicErrorControllerIntegrationTests	1800	repeatedly boots and tears down embedded Tomcat
configuration-metadata/spring-boot-configuration-processor	org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessorTests	1200	SPRING-TESTCOMPILER.1: compiles fixture sources in-process through real javac
configuration-metadata/spring-boot-configuration-processor	org.springframework.boot.configurationprocessor.ConstructorParameterPropertyDescriptorTests	1200	SPRING-TESTCOMPILER.1
configuration-metadata/spring-boot-configuration-processor	org.springframework.boot.configurationprocessor.EndpointMetadataGenerationTests	1200	SPRING-TESTCOMPILER.1
configuration-metadata/spring-boot-configuration-processor	org.springframework.boot.configurationprocessor.JavaBeanPropertyDescriptorTests	1200	SPRING-TESTCOMPILER.1
configuration-metadata/spring-boot-configuration-processor	org.springframework.boot.configurationprocessor.LombokPropertyDescriptorTests	1200	SPRING-TESTCOMPILER.1
configuration-metadata/spring-boot-configuration-processor	org.springframework.boot.configurationprocessor.MergeMetadataGenerationTests	1200	SPRING-TESTCOMPILER.1
configuration-metadata/spring-boot-configuration-processor	org.springframework.boot.configurationprocessor.PropertyDescriptorResolverTests	1200	SPRING-TESTCOMPILER.1
module/spring-boot-amqp	org.springframework.boot.amqp.autoconfigure.RabbitAutoConfigurationTests	900	pre-rename key; kept so an older fixture checkout still matches
module/spring-boot-rabbitmq	org.springframework.boot.rabbitmq.autoconfigure.RabbitAutoConfigurationTests	900	current fixture coordinates for the row above (module renamed upstream)
module/spring-boot-amqp-rabbitmq	org.springframework.boot.amqp.rabbitmq.autoconfigure.AmqpRabbitAutoConfigurationTests	900	sibling of the renamed Rabbit class
module/spring-boot-jackson	org.springframework.boot.jackson.autoconfigure.JacksonAutoConfigurationTests	900	measured 107 s serial on azure; 300 s is not enough under a parallel shard
core/spring-boot	org.springframework.boot.env.OriginTrackedYamlLoaderTests	1100	yaml loading is interpreter-bound
core/spring-boot	org.springframework.boot.context.properties.source.ConfigurationPropertySourcesTests	5400	three gh-20625/gh-21416 throughput tests; see the native-collections floor residual
module/spring-boot-tomcat	org.springframework.boot.tomcat.servlet.TomcatServletWebServerFactoryTests	900	annotation-scan throughput; 133/133 in 193 s serial on azure
module/spring-boot-jetty	org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests	900	annotation-scan throughput; 116/116 in 119 s serial on azure
module/spring-boot-pulsar	org.springframework.boot.pulsar.autoconfigure.PulsarAutoConfigurationTests	900	74/74 in 84 s serial on azure
module/spring-boot-flyway	org.springframework.boot.flyway.autoconfigure.FlywayAutoConfigurationTests	600	73/73 in 72 s serial on azure; 12x HotSpot leaves no room at 300 s under a shard
module/spring-boot-kafka	org.springframework.boot.kafka.autoconfigure.KafkaAutoConfigurationIntegrationTests	600	3/3 in 21 s serial on azure, but reported HANG under a parallel-3 shard
