module	class
core/spring-boot	org.springframework.boot.logging.log4j2.Log4J2LoggingSystemTests
core/spring-boot	org.springframework.boot.logging.logback.LogbackLoggingSystemTests
core/spring-boot	org.springframework.boot.SpringApplicationTests
module/spring-boot-batch-jdbc	org.springframework.boot.batch.jdbc.autoconfigure.BatchJdbcAutoConfigurationTests
module/spring-boot-cache	org.springframework.boot.cache.autoconfigure.CacheAutoConfigurationTests
module/spring-boot-cloudfoundry	org.springframework.boot.cloudfoundry.autoconfigure.actuate.endpoint.reactive.CloudFoundryReactiveActuatorAutoConfigurationTests
module/spring-boot-cloudfoundry	org.springframework.boot.cloudfoundry.autoconfigure.actuate.endpoint.servlet.CloudFoundryActuatorAutoConfigurationTests
module/spring-boot-flyway	org.springframework.boot.flyway.autoconfigure.FlywayAutoConfigurationTests
module/spring-boot-integration	org.springframework.boot.integration.autoconfigure.IntegrationAutoConfigurationTests
module/spring-boot-jackson	org.springframework.boot.jackson.autoconfigure.JacksonAutoConfigurationTests
module/spring-boot-jetty	org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests
module/spring-boot-jooq	org.springframework.boot.jooq.autoconfigure.JooqAutoConfigurationTests
module/spring-boot-jooq	org.springframework.boot.jooq.autoconfigure.JooqFlywayDatabaseInitializationTests
module/spring-boot-jooq-test	org.springframework.boot.jooq.test.autoconfigure.JooqTestIntegrationTests
module/spring-boot-jooq-test	org.springframework.boot.jooq.test.autoconfigure.JooqTestPropertiesIntegrationTests
module/spring-boot-jooq-test	org.springframework.boot.jooq.test.autoconfigure.JooqTestWithAutoConfigureTestDatabaseIntegrationTests
module/spring-boot-pulsar	org.springframework.boot.pulsar.autoconfigure.PulsarAutoConfigurationTests
module/spring-boot-quartz	org.springframework.boot.quartz.actuate.endpoint.QuartzEndpointWebIntegrationTests
module/spring-boot-security	org.springframework.boot.security.autoconfigure.actuate.web.servlet.ManagementWebSecurityAutoConfigurationTests
module/spring-boot-tomcat	org.springframework.boot.tomcat.servlet.TomcatServletWebServerFactoryTests
