module	class
core/spring-boot	org.springframework.boot.context.properties.EnableConfigurationPropertiesRegistrarTests
core/spring-boot	org.springframework.boot.context.properties.source.ConfigurationPropertySourcesTests
core/spring-boot-autoconfigure	org.springframework.boot.autoconfigure.ssl.CertificateMatcherTests
core/spring-boot-testcontainers	org.springframework.boot.testcontainers.lifecycle.TestcontainersLifecycleApplicationContextInitializerTests
core/spring-boot-testcontainers	org.springframework.boot.testcontainers.service.connection.ServiceConnectionContextCustomizerTests
loader/spring-boot-loader	org.springframework.boot.loader.net.protocol.jar.JarUrlConnectionTests
loader/spring-boot-loader	org.springframework.boot.loader.zip.ZipContentTests
module/spring-boot-amqp	org.springframework.boot.amqp.autoconfigure.RabbitAutoConfigurationTests
module/spring-boot-batch-data-mongodb	org.springframework.boot.batch.mongodb.autoconfigure.BatchDataMongoAutoConfigurationTests
module/spring-boot-batch-jdbc	org.springframework.boot.batch.jdbc.autoconfigure.BatchJdbcAutoConfigurationTests
module/spring-boot-cassandra	org.springframework.boot.cassandra.autoconfigure.health.CassandraReactiveHealthContributorAutoConfigurationTests
module/spring-boot-cache	org.springframework.boot.cache.autoconfigure.CacheAutoConfigurationTests
module/spring-boot-data-cassandra	org.springframework.boot.data.cassandra.autoconfigure.DataCassandraReactiveRepositoriesAutoConfigurationTests
module/spring-boot-data-couchbase	org.springframework.boot.data.couchbase.autoconfigure.DataCouchbaseReactiveRepositoriesAutoConfigurationTests
module/spring-boot-data-neo4j	org.springframework.boot.data.neo4j.autoconfigure.DataNeo4jReactiveRepositoriesAutoConfigurationTests
module/spring-boot-flyway	org.springframework.boot.flyway.autoconfigure.FlywayAutoConfigurationTests
module/spring-boot-grpc-server	org.springframework.boot.grpc.server.autoconfigure.health.GrpcServerHealthAutoConfigurationTests
module/spring-boot-hazelcast	org.springframework.boot.hazelcast.autoconfigure.HazelcastAutoConfigurationClientTests
module/spring-boot-hazelcast	org.springframework.boot.hazelcast.autoconfigure.HazelcastJpaDependencyAutoConfigurationTests
module/spring-boot-http-client	org.springframework.boot.http.client.JdkClientHttpRequestFactoryBuilderTests
module/spring-boot-http-client	org.springframework.boot.http.client.ReactorClientHttpRequestFactoryBuilderTests
module/spring-boot-jackson	org.springframework.boot.jackson.autoconfigure.JacksonAutoConfigurationTests
module/spring-boot-jdbc	org.springframework.boot.jdbc.autoconfigure.XADataSourceAutoConfigurationTests
module/spring-boot-jetty	org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests
module/spring-boot-jooq	org.springframework.boot.jooq.autoconfigure.JooqAutoConfigurationTests
module/spring-boot-kafka	org.springframework.boot.kafka.autoconfigure.ConcurrentKafkaListenerContainerFactoryConfigurerTests
module/spring-boot-kafka	org.springframework.boot.kafka.autoconfigure.KafkaAutoConfigurationIntegrationTests
module/spring-boot-kafka	org.springframework.boot.kafka.autoconfigure.KafkaAutoConfigurationTests
module/spring-boot-micrometer-metrics	org.springframework.boot.micrometer.metrics.autoconfigure.task.TaskExecutorMetricsAutoConfigurationTests
module/spring-boot-micrometer-observation	org.springframework.boot.micrometer.observation.autoconfigure.ObservationHandlerGroupTests
module/spring-boot-micrometer-tracing	org.springframework.boot.micrometer.tracing.autoconfigure.TracingAndMeterObservationHandlerGroupTests
module/spring-boot-pulsar	org.springframework.boot.pulsar.autoconfigure.PulsarPropertiesMapperTests
module/spring-boot-pulsar	org.springframework.boot.pulsar.autoconfigure.PulsarAutoConfigurationTests
module/spring-boot-reactor-netty	org.springframework.boot.reactor.netty.NettyReactiveWebServerFactoryTests
module/spring-boot-restclient	org.springframework.boot.restclient.autoconfigure.RestClientAutoConfigurationTests
module/spring-boot-security-oauth2-resource-server	org.springframework.boot.security.oauth2.server.resource.autoconfigure.reactive.ReactiveOAuth2ResourceServerAutoConfigurationTests
module/spring-boot-tomcat	org.springframework.boot.tomcat.autoconfigure.servlet.TomcatServletWebServerAutoConfigurationTests
module/spring-boot-tomcat	org.springframework.boot.tomcat.reactive.TomcatReactiveWebServerFactoryTests
module/spring-boot-web-server	org.springframework.boot.web.server.servlet.context.AnnotationConfigServletWebServerApplicationContextTests
module/spring-boot-web-server	org.springframework.boot.web.server.servlet.context.ServletComponentScanIntegrationTests
module/spring-boot-web-server	org.springframework.boot.web.server.servlet.context.ServletWebServerApplicationContextTests
module/spring-boot-web-server	org.springframework.boot.web.server.SpringApplicationWebServerTests
module/spring-boot-tomcat	org.springframework.boot.tomcat.servlet.TomcatServletWebServerFactoryTests
module/spring-boot-webmvc	org.springframework.boot.webmvc.autoconfigure.WebMvcAutoConfigurationTests
module/spring-boot-webmvc	org.springframework.boot.webmvc.autoconfigure.WebMvcObservationAutoConfigurationTests
module/spring-boot-webtestclient	org.springframework.boot.webtestclient.autoconfigure.WebTestClientAutoConfigurationTests
