module	class
core/spring-boot	org.springframework.boot.convert.ApplicationConversionServiceTests
core/spring-boot	org.springframework.boot.env.ConfigTreePropertySourceTests
core/spring-boot	org.springframework.boot.logging.log4j2.Log4J2LoggingSystemTests
core/spring-boot	org.springframework.boot.logging.logback.LogbackLoggingSystemTests
core/spring-boot	org.springframework.boot.ssl.pem.PemSslStoreTests
core/spring-boot	org.springframework.boot.system.ApplicationTempTests
core/spring-boot	org.springframework.boot.util.LambdaSafeTests
core/spring-boot	org.springframework.boot.SpringApplicationTests
core/spring-boot-autoconfigure	org.springframework.boot.autoconfigure.ssl.FileWatcherTests
core/spring-boot-autoconfigure	org.springframework.boot.autoconfigure.ssl.CertificateMatcherTests
module/spring-boot-actuator	org.springframework.boot.actuate.endpoint.invoke.convert.ConversionServiceParameterValueMapperTests
module/spring-boot-actuator	org.springframework.boot.actuate.info.GitInfoContributorTests
module/spring-boot-amqp	org.springframework.boot.amqp.autoconfigure.RabbitAutoConfigurationTests
module/spring-boot-batch-jdbc	org.springframework.boot.batch.jdbc.autoconfigure.BatchJdbcAutoConfigurationTests
module/spring-boot-cache	org.springframework.boot.cache.actuate.endpoint.CachesEndpointWebIntegrationTests
module/spring-boot-cache	org.springframework.boot.cache.autoconfigure.CacheAutoConfigurationTests
module/spring-boot-cloudfoundry	org.springframework.boot.cloudfoundry.autoconfigure.actuate.endpoint.reactive.CloudFoundryReactiveActuatorAutoConfigurationTests
module/spring-boot-cloudfoundry	org.springframework.boot.cloudfoundry.autoconfigure.actuate.endpoint.servlet.CloudFoundryActuatorAutoConfigurationTests
module/spring-boot-data-rest	org.springframework.boot.data.rest.autoconfigure.DataRestAutoConfigurationTests
module/spring-boot-devtools	org.springframework.boot.devtools.restart.ChangeableUrlsTests
module/spring-boot-devtools	org.springframework.boot.devtools.restart.classloader.RestartClassLoaderTests
module/spring-boot-flyway	org.springframework.boot.flyway.autoconfigure.FlywayAutoConfigurationTests
module/spring-boot-grpc-server	org.springframework.boot.grpc.server.autoconfigure.PropertiesServerBuilderCustomizerTests
module/spring-boot-hazelcast	org.springframework.boot.hazelcast.autoconfigure.HazelcastAutoConfigurationServerTests
module/spring-boot-http-client	org.springframework.boot.http.client.SimpleClientHttpRequestFactoryBuilderTests
module/spring-boot-integration	org.springframework.boot.integration.actuate.endpoint.IntegrationGraphEndpointWebIntegrationTests
module/spring-boot-integration	org.springframework.boot.integration.autoconfigure.IntegrationAutoConfigurationTests
module/spring-boot-jackson	org.springframework.boot.jackson.autoconfigure.JacksonAutoConfigurationTests
module/spring-boot-hibernate	org.springframework.boot.hibernate.autoconfigure.HibernateJpaAutoConfigurationTests
module/spring-boot-jetty	org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests
module/spring-boot-jooq	org.springframework.boot.jooq.autoconfigure.JooqAutoConfigurationTests
module/spring-boot-jooq	org.springframework.boot.jooq.autoconfigure.JooqFlywayDatabaseInitializationTests
module/spring-boot-jooq-test	org.springframework.boot.jooq.test.autoconfigure.JooqTestIntegrationTests
module/spring-boot-jooq-test	org.springframework.boot.jooq.test.autoconfigure.JooqTestPropertiesIntegrationTests
module/spring-boot-ldap	org.springframework.boot.ldap.autoconfigure.embedded.EmbeddedLdapAutoConfigurationTests
module/spring-boot-jooq-test	org.springframework.boot.jooq.test.autoconfigure.JooqTestWithAutoConfigureTestDatabaseIntegrationTests
module/spring-boot-neo4j	org.springframework.boot.neo4j.autoconfigure.Neo4jAutoConfigurationTests
module/spring-boot-pulsar	org.springframework.boot.pulsar.autoconfigure.PulsarAutoConfigurationTests
module/spring-boot-quartz	org.springframework.boot.quartz.actuate.endpoint.QuartzEndpointWebIntegrationTests
module/spring-boot-security	org.springframework.boot.security.autoconfigure.actuate.web.servlet.ManagementWebSecurityAutoConfigurationTests
module/spring-boot-security	org.springframework.boot.security.autoconfigure.actuate.web.servlet.JerseyEndpointRequestIntegrationTests
module/spring-boot-security-oauth2-resource-server	org.springframework.boot.security.oauth2.server.resource.autoconfigure.OAuth2ResourceServerAutoConfigurationTests
module/spring-boot-tomcat	org.springframework.boot.tomcat.servlet.TomcatServletWebServerFactoryTests
module/spring-boot-webflux	org.springframework.boot.webflux.autoconfigure.error.DefaultErrorWebExceptionHandlerIntegrationTests
module/spring-boot-webflux	org.springframework.boot.webflux.autoconfigure.WebFluxAutoConfigurationTests
module/spring-boot-webmvc	org.springframework.boot.webmvc.autoconfigure.actuate.endpoint.web.WebMvcHealthEndpointAdditionalPathIntegrationTests
module/spring-boot-webmvc	org.springframework.boot.webmvc.autoconfigure.error.BasicErrorControllerDirectMockMvcTests
module/spring-boot-webmvc	org.springframework.boot.webmvc.autoconfigure.error.BasicErrorControllerIntegrationTests
module/spring-boot-webservices	org.springframework.boot.webservices.client.WebServiceMessageSenderFactoryTests
