module	class
configuration-metadata/spring-boot-configuration-metadata-changelog-generator	org.springframework.boot.configurationmetadata.changelog.ChangelogWriterTests
module/spring-boot-flyway	org.springframework.boot.flyway.autoconfigure.Flyway110AutoConfigurationTests
loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ExtractCommandTests
loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ExtractLayersCommandTests
module/spring-boot-jdbc	org.springframework.boot.jdbc.autoconfigure.HikariDataSourceConfigurationTests
loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.HelpCommandTests
loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ListCommandTests
loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ListLayersCommandTests
loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ToolsJarModeTests
core/spring-boot	org.springframework.boot.system.ApplicationPidTests
module/spring-boot-tomcat	org.springframework.boot.tomcat.autoconfigure.TomcatWebServerFactoryCustomizerTests
core/spring-boot-autoconfigure	org.springframework.boot.autoconfigure.condition.ConditionalOnCheckpointRestoreTests
loader/spring-boot-loader	org.springframework.boot.loader.zip.ZipContentTests
module/spring-boot-gson	org.springframework.boot.gson.autoconfigure.Gson210AutoConfigurationTests
core/spring-boot	org.springframework.boot.diagnostics.analyzer.NoSuchMethodFailureAnalyzerTests
module/spring-boot-health	org.springframework.boot.health.application.DiskSpaceHealthIndicatorTests
module/spring-boot-liquibase	org.springframework.boot.liquibase.autoconfigure.Liquibase423AutoConfigurationTests
module/spring-boot-kafka	org.springframework.boot.kafka.autoconfigure.KafkaAutoConfigurationIntegrationTests
test-support/spring-boot-test-support	org.springframework.boot.testsupport.classpath.ModifiedClassPathExtensionOverridesParameterizedTests
test-support/spring-boot-test-support	org.springframework.boot.testsupport.classpath.ModifiedClassPathExtensionOverridesTests
test-support/spring-boot-test-support	org.springframework.boot.testsupport.classpath.resources.ResourcesTests
