module	class
configuration-metadata/spring-boot-configuration-metadata-changelog-generator	org.springframework.boot.configurationmetadata.changelog.ChangelogWriterTests
module/spring-boot-flyway	org.springframework.boot.flyway.autoconfigure.Flyway110AutoConfigurationTests
module/spring-boot-jdbc	org.springframework.boot.jdbc.autoconfigure.HikariDataSourceConfigurationTests
module/spring-boot-mongodb	org.springframework.boot.mongodb.autoconfigure.MongoReactiveAutoConfigurationTests
loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ExtractCommandTests
loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ExtractLayersCommandTests
loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.HelpCommandTests
loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ListCommandTests
loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ListLayersCommandTests
loader/spring-boot-jarmode-tools	org.springframework.boot.jarmode.tools.ToolsJarModeTests
core/spring-boot	org.springframework.boot.system.ApplicationPidTests
module/spring-boot-tomcat	org.springframework.boot.tomcat.autoconfigure.TomcatWebServerFactoryCustomizerTests
loader/spring-boot-loader	org.springframework.boot.loader.zip.ZipContentTests
core/spring-boot-autoconfigure	org.springframework.boot.autoconfigure.condition.ConditionalOnCheckpointRestoreTests
module/spring-boot-tomcat	org.springframework.boot.tomcat.servlet.TomcatServletWebServerFactoryTests
module/spring-boot-gson	org.springframework.boot.gson.autoconfigure.Gson210AutoConfigurationTests
module/spring-boot-quartz	org.springframework.boot.quartz.actuate.endpoint.QuartzEndpointWebIntegrationTests
module/spring-boot-jetty	org.springframework.boot.jetty.SslServerCustomizerTests
core/spring-boot	org.springframework.boot.diagnostics.analyzer.NoSuchMethodFailureAnalyzerTests
module/spring-boot-health	org.springframework.boot.health.application.DiskSpaceHealthIndicatorTests
module/spring-boot-jetty	org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests
module/spring-boot-jooq	org.springframework.boot.jooq.autoconfigure.JooqAutoConfigurationTests
module/spring-boot-jooq	org.springframework.boot.jooq.autoconfigure.JooqFlywayDatabaseInitializationTests
module/spring-boot-http-client	org.springframework.boot.http.client.JdkClientHttpRequestFactoryBuilderTests
module/spring-boot-http-client	org.springframework.boot.http.client.reactive.JdkClientHttpConnectorBuilderTests
module/spring-boot-jackson	org.springframework.boot.jackson.autoconfigure.JacksonAutoConfigurationTests
module/spring-boot-liquibase	org.springframework.boot.liquibase.autoconfigure.Liquibase423AutoConfigurationTests
module/spring-boot-kafka	org.springframework.boot.kafka.autoconfigure.KafkaAutoConfigurationIntegrationTests
module/spring-boot-webservices	org.springframework.boot.webservices.client.WebServiceMessageSenderFactoryTests
test-support/spring-boot-test-support	org.springframework.boot.testsupport.classpath.ModifiedClassPathExtensionOverridesParameterizedTests
test-support/spring-boot-test-support	org.springframework.boot.testsupport.classpath.ModifiedClassPathExtensionOverridesTests
test-support/spring-boot-test-support	org.springframework.boot.testsupport.classpath.resources.ResourcesTests
