index	module	class	vm	jit	rc	status	seconds	tests	failed	aborted	skipped	containersFailed	stdoutLog	stderrLog	note
1	cli/spring-boot-cli	org.springframework.boot.cli.command.CommandRunnerIntegrationTests	craton	on	0	PASS	0.636	2	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/cli_spring-boot-cli.org.springframework.boot.cli.command.CommandRunnerIntegrationTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/cli_spring-boot-cli.org.springframework.boot.cli.command.CommandRunnerIntegrationTests.err.log	
2	core/spring-boot-docker-compose	org.springframework.boot.docker.compose.core.DockerComposeOriginTests	craton	on	0	PASS	0.632	3	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot-docker-compose.org.springframework.boot.docker.compose.core.DockerComposeOriginTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot-docker-compose.org.springframework.boot.docker.compose.core.DockerComposeOriginTests.err.log	
3	core/spring-boot-docker-compose	org.springframework.boot.docker.compose.core.DockerComposeFileTests	craton	on	0	PASS	0.995	13	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot-docker-compose.org.springframework.boot.docker.compose.core.DockerComposeFileTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot-docker-compose.org.springframework.boot.docker.compose.core.DockerComposeFileTests.err.log	
2	module/spring-boot-actuator	org.springframework.boot.actuate.endpoint.OperationResponseBodyTests	craton	on	0	PASS	0.853	1	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-actuator.org.springframework.boot.actuate.endpoint.OperationResponseBodyTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-actuator.org.springframework.boot.actuate.endpoint.OperationResponseBodyTests.err.log	
2	core/spring-boot	org.springframework.boot.io.Base64ProtocolResolverTests	craton	on	0	PASS	0.850	3	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot.org.springframework.boot.io.Base64ProtocolResolverTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot.org.springframework.boot.io.Base64ProtocolResolverTests.err.log	
3	module/spring-boot-actuator	org.springframework.boot.actuate.endpoint.ProducibleOperationArgumentResolverTests	craton	on	0	PASS	1.231	10	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-actuator.org.springframework.boot.actuate.endpoint.ProducibleOperationArgumentResolverTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-actuator.org.springframework.boot.actuate.endpoint.ProducibleOperationArgumentResolverTests.err.log	
4	core/spring-boot-docker-compose	org.springframework.boot.docker.compose.core.DockerEnvTests	craton	on	0	PASS	0.851	3	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot-docker-compose.org.springframework.boot.docker.compose.core.DockerEnvTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot-docker-compose.org.springframework.boot.docker.compose.core.DockerEnvTests.err.log	
2	module/spring-boot-security-saml2	org.springframework.boot.security.saml2.autoconfigure.Saml2RelyingPartyPropertiesTests	craton	on	0	PASS	1.724	8	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-security-saml2.org.springframework.boot.security.saml2.autoconfigure.Saml2RelyingPartyPropertiesTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-security-saml2.org.springframework.boot.security.saml2.autoconfigure.Saml2RelyingPartyPropertiesTests.err.log	
4	module/spring-boot-actuator	org.springframework.boot.actuate.endpoint.SanitizableDataTests	craton	on	0	PASS	1.051	5	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-actuator.org.springframework.boot.actuate.endpoint.SanitizableDataTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-actuator.org.springframework.boot.actuate.endpoint.SanitizableDataTests.err.log	
5	core/spring-boot-docker-compose	org.springframework.boot.docker.compose.core.DockerHostTests	craton	on	0	PASS	1.235	18	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot-docker-compose.org.springframework.boot.docker.compose.core.DockerHostTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot-docker-compose.org.springframework.boot.docker.compose.core.DockerHostTests.err.log	
5	module/spring-boot-actuator	org.springframework.boot.actuate.endpoint.SanitizerTests	craton	on	0	PASS	1.053	7	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-actuator.org.springframework.boot.actuate.endpoint.SanitizerTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-actuator.org.springframework.boot.actuate.endpoint.SanitizerTests.err.log	
3	core/spring-boot	org.springframework.boot.io.ProtocolResolverApplicationContextInitializerTests	craton	on	0	PASS	1.428	1	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot.org.springframework.boot.io.ProtocolResolverApplicationContextInitializerTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot.org.springframework.boot.io.ProtocolResolverApplicationContextInitializerTests.err.log	
2	module/spring-boot-devtools	org.springframework.boot.devtools.livereload.LiveReloadServerTests	craton	on	0	PASS	2.525	5	0	0	1	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-devtools.org.springframework.boot.devtools.livereload.LiveReloadServerTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-devtools.org.springframework.boot.devtools.livereload.LiveReloadServerTests.err.log	
6	core/spring-boot-docker-compose	org.springframework.boot.docker.compose.core.DockerJsonTests	craton	on	0	PASS	1.235	5	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot-docker-compose.org.springframework.boot.docker.compose.core.DockerJsonTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot-docker-compose.org.springframework.boot.docker.compose.core.DockerJsonTests.err.log	
2	cli/spring-boot-cli	org.springframework.boot.cli.command.CommandRunnerTests	craton	on	0	PASS	3.056	13	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/cli_spring-boot-cli.org.springframework.boot.cli.command.CommandRunnerTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/cli_spring-boot-cli.org.springframework.boot.cli.command.CommandRunnerTests.err.log	
4	core/spring-boot	org.springframework.boot.json.AbstractJsonParserTests	craton	on	0	EMPTY	0.605	0	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot.org.springframework.boot.json.AbstractJsonParserTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/core_spring-boot.org.springframework.boot.json.AbstractJsonParserTests.err.log	
3	module/spring-boot-devtools	org.springframework.boot.devtools.remote.client.ClassPathChangeUploaderTests	craton	on	0	PASS	3.181	6	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-devtools.org.springframework.boot.devtools.remote.client.ClassPathChangeUploaderTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260802/all-jit/logs/module_spring-boot-devtools.org.springframework.boot.devtools.remote.client.ClassPathChangeUploaderTests.err.log	
