index	module	class	vm	jit	rc	status	seconds	tests	failed	aborted	skipped	containersFailed	stdoutLog	stderrLog	note
1	core/spring-boot	org.springframework.boot.io.Base64ProtocolResolverTests	craton	on	0	PASS	0.643	3	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.io.Base64ProtocolResolverTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.io.Base64ProtocolResolverTests.err.log	
2	core/spring-boot	org.springframework.boot.io.ProtocolResolverApplicationContextInitializerTests	craton	on	0	PASS	1.623	1	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.io.ProtocolResolverApplicationContextInitializerTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.io.ProtocolResolverApplicationContextInitializerTests.err.log	
3	core/spring-boot	org.springframework.boot.json.AbstractJsonParserTests	craton	on	0	EMPTY	0.605	0	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.AbstractJsonParserTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.AbstractJsonParserTests.err.log	
4	core/spring-boot	org.springframework.boot.json.AppendableByteArrayTests	craton	on	0	PASS	0.807	4	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.AppendableByteArrayTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.AppendableByteArrayTests.err.log	
5	core/spring-boot	org.springframework.boot.io.ProtocolResolverApplicationContextInitializerIntegrationTests	craton	on	0	PASS	5.664	1	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.io.ProtocolResolverApplicationContextInitializerIntegrationTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.io.ProtocolResolverApplicationContextInitializerIntegrationTests.err.log	
6	core/spring-boot	org.springframework.boot.json.GsonJsonParserTests	craton	on	0	PASS	1.820	25	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.GsonJsonParserTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.GsonJsonParserTests.err.log	
7	core/spring-boot	org.springframework.boot.json.JacksonJsonParserTests	craton	on	0	PASS	12.486	26	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.JacksonJsonParserTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.JacksonJsonParserTests.err.log	
8	core/spring-boot	org.springframework.boot.json.JsonValueWriterTests	craton	on	0	PASS	1.410	32	0	0	1	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.JsonValueWriterTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.JsonValueWriterTests.err.log	
9	core/spring-boot	org.springframework.boot.json.JsonWriterTests	craton	on	0	PASS	3.635	86	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.JsonWriterTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.JsonWriterTests.err.log	
10	core/spring-boot	org.springframework.boot.json.WritableJsonTests	craton	on	0	PASS	1.012	14	0	0	0	0	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.WritableJsonTests.out.log	/data/data/cratonvm/apps/spring-boot-suite-runner/.suite/results/craton-fullsuite-azure-20260805-s2/all-jit/logs/core_spring-boot.org.springframework.boot.json.WritableJsonTests.err.log	
