index	module	class	vm	jit	rc	status	seconds	tests	failed	aborted	skipped	containersFailed	stdoutLog	stderrLog	note
1	core/spring-boot	org.springframework.boot.logging.log4j2.Log4J2LoggingSystemTests	craton	on	1	FAIL	102.772	61	14	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\core_spring-boot.org.springframework.boot.logging.log4j2.Log4J2LoggingSystemTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\core_spring-boot.org.springframework.boot.logging.log4j2.Log4J2LoggingSystemTests.err.log	2026-07-31 19:43:41.403 ERROR 31656 --- [           main] o.s.b.l.l.Log4J2LoggingSystemTests       : Hello world 
2	core/spring-boot	org.springframework.boot.logging.logback.LogbackLoggingSystemTests	craton	on	0	PASS	118.214	86	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\core_spring-boot.org.springframework.boot.logging.logback.LogbackLoggingSystemTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\core_spring-boot.org.springframework.boot.logging.logback.LogbackLoggingSystemTests.err.log	
3	core/spring-boot	org.springframework.boot.SpringApplicationTests	craton	on	0	PASS	147.234	102	0	0	2	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\core_spring-boot.org.springframework.boot.SpringApplicationTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\core_spring-boot.org.springframework.boot.SpringApplicationTests.err.log	
4	module/spring-boot-batch-jdbc	org.springframework.boot.batch.jdbc.autoconfigure.BatchJdbcAutoConfigurationTests	craton	on	0	PASS	103.213	34	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-batch-jdbc.org.springframework.boot.batch.jdbc.autoconfigure.Batch-adef578bf5b8.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-batch-jdbc.org.springframework.boot.batch.jdbc.autoconfigure.Batch-adef578bf5b8.err.log	
5	module/spring-boot-cache	org.springframework.boot.cache.autoconfigure.CacheAutoConfigurationTests	craton	on	0	PASS	208.196	59	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-cache.org.springframework.boot.cache.autoconfigure.CacheAutoConfigurationTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-cache.org.springframework.boot.cache.autoconfigure.CacheAutoConfigurationTests.err.log	
6	module/spring-boot-cloudfoundry	org.springframework.boot.cloudfoundry.autoconfigure.actuate.endpoint.reactive.CloudFoundryReactiveActuatorAutoConfigurationTests	craton	on	0	PASS	132.074	14	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-cloudfoundry.org.springframework.boot.cloudfoundry.autoconfigure.a-7decd5b54db9.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-cloudfoundry.org.springframework.boot.cloudfoundry.autoconfigure.a-7decd5b54db9.err.log	
7	module/spring-boot-cloudfoundry	org.springframework.boot.cloudfoundry.autoconfigure.actuate.endpoint.servlet.CloudFoundryActuatorAutoConfigurationTests	craton	on	1	FAIL	151.127	14	1	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-cloudfoundry.org.springframework.boot.cloudfoundry.autoconfigure.a-7729cc9d2f53.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-cloudfoundry.org.springframework.boot.cloudfoundry.autoconfigure.a-7729cc9d2f53.err.log	19:57:39.919 [main] ERROR org.springframework.boot.cloudfoundry.autoconfigure.actuate.endpoint.servlet.SecurityInterceptor -- org.springframework.boot.cloudfoundry.autoconfigure.ac
8	module/spring-boot-flyway	org.springframework.boot.flyway.autoconfigure.FlywayAutoConfigurationTests	craton	on	0	PASS	144.924	73	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-flyway.org.springframework.boot.flyway.autoconfigure.FlywayAutoCon-a62f68dc70ec.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-flyway.org.springframework.boot.flyway.autoconfigure.FlywayAutoCon-a62f68dc70ec.err.log	
9	module/spring-boot-integration	org.springframework.boot.integration.autoconfigure.IntegrationAutoConfigurationTests	craton	on	0	PASS	170.858	34	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-integration.org.springframework.boot.integration.autoconfigure.Int-9d4bdd63bbf0.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-integration.org.springframework.boot.integration.autoconfigure.Int-9d4bdd63bbf0.err.log	
10	module/spring-boot-jackson	org.springframework.boot.jackson.autoconfigure.JacksonAutoConfigurationTests	craton	on	0	PASS	283.028	162	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jackson.org.springframework.boot.jackson.autoconfigure.JacksonAuto-5a617de8eaa8.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jackson.org.springframework.boot.jackson.autoconfigure.JacksonAuto-5a617de8eaa8.err.log	
11	module/spring-boot-jetty	org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests	craton	on	1	FAIL	543.566	113	2	0	2	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jetty.org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jetty.org.springframework.boot.jetty.servlet.JettyServletWebServerFactoryTests.err.log	java.lang.RuntimeException: Planned 
12	module/spring-boot-jooq	org.springframework.boot.jooq.autoconfigure.JooqAutoConfigurationTests	craton	on	0	PASS	1255.667	17	0	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jooq.org.springframework.boot.jooq.autoconfigure.JooqAutoConfigurationTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-hangverify-20260731\all-jit\logs\module_spring-boot-jooq.org.springframework.boot.jooq.autoconfigure.JooqAutoConfigurationTests.err.log	
