index	module	class	vm	jit	rc	status	seconds	tests	failed	aborted	skipped	containersFailed	stdoutLog	stderrLog	note
1	core/spring-boot	org.springframework.boot.convert.ApplicationConversionServiceTests	craton	on	1	FAIL	24.844	18	6	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot.org.springframework.boot.convert.ApplicationConversionServiceTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot.org.springframework.boot.convert.ApplicationConversionServiceTests.err.log	    => java.lang.IllegalArgumentException 
2	core/spring-boot	org.springframework.boot.env.ConfigTreePropertySourceTests	craton	on	1	FAIL	5.543	23	3	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot.org.springframework.boot.env.ConfigTreePropertySourceTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot.org.springframework.boot.env.ConfigTreePropertySourceTests.err.log	    => java.lang.UnsupportedOperationException 
3	core/spring-boot	org.springframework.boot.ssl.pem.PemSslStoreTests	craton	on	1	FAIL	10.692	5	3	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot.org.springframework.boot.ssl.pem.PemSslStoreTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot.org.springframework.boot.ssl.pem.PemSslStoreTests.err.log	    => org.mockito.exceptions.base.MockitoException: 
4	core/spring-boot	org.springframework.boot.system.ApplicationTempTests	craton	on	0	FAIL	2.245	5	0	1	1	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot.org.springframework.boot.system.ApplicationTempTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot.org.springframework.boot.system.ApplicationTempTests.err.log	
5	core/spring-boot	org.springframework.boot.util.LambdaSafeTests	craton	on	1	FAIL	13.127	31	1	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot.org.springframework.boot.util.LambdaSafeTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot.org.springframework.boot.util.LambdaSafeTests.err.log	       java.lang.AssertionError.<init>(AssertionError.java:76) 
6	core/spring-boot-autoconfigure	org.springframework.boot.autoconfigure.ssl.FileWatcherTests	craton	on	1	FAIL	5.343	15	14	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot-autoconfigure.org.springframework.boot.autoconfigure.ssl.FileWatcherTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot-autoconfigure.org.springframework.boot.autoconfigure.ssl.FileWatcherTests.err.log	01:07:12.476 [ssl-bundle-watcher] ERROR org.springframework.boot.autoconfigure.ssl.FileWatcher -- Uncaught exception in file watcher thread 
7	core/spring-boot-autoconfigure	org.springframework.boot.autoconfigure.ssl.CertificateMatcherTests	craton	on	1	FAIL	32.883	0	0	0	0	4	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot-autoconfigure.org.springframework.boot.autoconfigure.ssl.CertificateMatcherTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\core_spring-boot-autoconfigure.org.springframework.boot.autoconfigure.ssl.CertificateMatcherTests.err.log	    => org.mockito.exceptions.base.MockitoException: 
8	module/spring-boot-actuator	org.springframework.boot.actuate.endpoint.invoke.convert.ConversionServiceParameterValueMapperTests	craton	on	1	FAIL	13.952	4	1	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-actuator.org.springframework.boot.actuate.endpoint.invoke.convert.Conve-a6034c913463.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-actuator.org.springframework.boot.actuate.endpoint.invoke.convert.Conve-a6034c913463.err.log	       java.lang.AssertionError.<init>(AssertionError.java:76) 
9	module/spring-boot-actuator	org.springframework.boot.actuate.info.GitInfoContributorTests	craton	on	1	FAIL	2.451	4	1	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-actuator.org.springframework.boot.actuate.info.GitInfoContributorTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-actuator.org.springframework.boot.actuate.info.GitInfoContributorTests.err.log	    => java.lang.AssertionError:  
10	module/spring-boot-devtools	org.springframework.boot.devtools.restart.ChangeableUrlsTests	craton	on	1	FAIL	3.884	6	1	0	0	0	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-devtools.org.springframework.boot.devtools.restart.ChangeableUrlsTests.out.log	C:\craton\CratonVM-spring-boot-residual-20260728\apps\spring-boot-suite-runner\.suite\results\craton-rerun-20260801\all-jit\logs\module_spring-boot-devtools.org.springframework.boot.devtools.restart.ChangeableUrlsTests.err.log	    => org.opentest4j.AssertionFailedError:  
