suite	vm	rc	state	wall_s	note
h2-testall-fast	cratonvm	0	PASS	1.3	[2m2026-06-10T11:34:55.156878Z[0m [33m WARN[0m [2mcratonvm_vm::vm::vm_util
h2-testall-fast	hotspot	0	PASS	0.4	00:00.019 total
wildfly-health	cratonvm	124	FAIL	300.2	[2m2026-06-10T11:35:00.256539Z[0m [33m WARN[0m [2mcratonvm::gc::guard[0m[
wildfly-health	hotspot	-	SKIP	-	CratonVM not PASS
elasticsearch-version	cratonvm	0	PASS	6.9	Error
elasticsearch-version	hotspot	0	PASS	1.6	-
gpu-bench-cpu	cratonvm	0	PASS	1.9	[cratonvm] System.exit(0) called — process terminating
gpu-bench-cpu	hotspot	0	PASS	0.3	correctness=OK
gpu-offload-probe	cratonvm	0	PASS	2.4	OUT0=0 OUTN=1048600
gpu-offload-probe	hotspot	0	PASS	0.3	OUT0=0 OUTN=1048600
bc-asn1-regression	cratonvm	0	PASS	32.5	All tests successful.
bc-asn1-regression	hotspot	0	PASS	1.1	All tests successful.
bc-crypto-prng	cratonvm	0	PASS	35.1	All tests successful.
bc-crypto-prng	hotspot	0	PASS	0.5	All tests successful.
commons-math-junit-probe	cratonvm	0	PASS	7.3	EXEC_FOUND=4 SUCCEEDED=4 FAILED=0
commons-math-junit-probe	hotspot	0	PASS	0.9	EXEC_FOUND=1 SUCCEEDED=0 FAILED=1
dacapo-avrora	cratonvm	0	PASS	9.1	PASSED
dacapo-avrora	hotspot	127	N/S	1.7	FAILED
pool:kafka-codec	cratonvm	0	PASS	2.23	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:kafka-codec	hotspot	1	REGRESS	0.17	-
pool:spring-boot-run	cratonvm	0	PASS	4.88	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:spring-boot-run	hotspot	1	REGRESS	0.16	-
pool:tomcat-server-info	cratonvm	0	PASS	1.90	 regression-pool: total=1 pass=1 regress=0 slow=0 no_base=0 no_stage=0 results: /c/craton/CratonVM/apps/probe/test-infra
pool:tomcat-server-info	hotspot	1	REGRESS	0.16	-
