suite	variant	rc	state	wall_s	heap	summary
asn1-regression	cratonvm	0	OK	64.7	1g	StreamLimit: Okay
asn1-regression	hotspot	0	OK	1.4	1g	StreamLimit: Okay
asn1-regression	tornadovm	0	OK	1.5	1g	StreamLimit: Okay
math-ec	cratonvm	124	TIMEOUT	300.2	1g	
math-ec	hotspot	0	OK	51.3	1g	OK (14 tests)
math-ec	tornadovm	0	OK	52.4	1g	OK (14 tests)
math-raw	cratonvm	0	OK	2.6	1g	OK (4 tests)
math-raw	hotspot	0	OK	0.5	1g	OK (4 tests)
math-raw	tornadovm	0	OK	0.5	1g	OK (4 tests)
math	cratonvm	0	OK	9.5	1g	OK (5 tests)
math	hotspot	0	OK	1.1	1g	OK (5 tests)
math	tornadovm	0	OK	1.0	1g	OK (5 tests)
crypto-regression	cratonvm	124	TIMEOUT	300.8	4g	AESWrapPad: Okay
crypto-regression	hotspot	0	OK	125.6	4g	=>  LEA: Exception: java.lang.StringIndexOutOfBoundsException: Range [0, -1) out of bounds for length 2
crypto-regression	tornadovm	0	OK	174.9	4g	=>  LEA: Exception: java.lang.StringIndexOutOfBoundsException: Range [0, -1) out of bounds for length 2
crypto-prng	cratonvm	0	OK	36.5	1g	FixedSecureRandom: Okay
crypto-prng	hotspot	0	OK	0.6	1g	FixedSecureRandom: Okay
crypto-prng	tornadovm	0	OK	0.6	1g	FixedSecureRandom: Okay
pqc-crypto	cratonvm	1	OK	58.7	2g	Sphincs256: Okay
pqc-crypto	hotspot	0	OK	1.2	2g	NewHope: Okay
pqc-crypto	tornadovm	0	OK	1.3	2g	NewHope: Okay
util-encoders	cratonvm	127	FAIL	4.7	1g	
util-encoders	hotspot	0	OK	0.5	1g	OK (15 tests)
util-encoders	tornadovm	0	OK	0.6	1g	OK (15 tests)
