suite	variant	rc	state	wall_s	heap	summary
asn1-regression	cratonvm	0	OK	57.2	1g	StreamLimit: Okay
asn1-regression	hotspot	0	OK	1.5	1g	StreamLimit: Okay
asn1-regression	tornadovm	0	OK	1.9	1g	StreamLimit: Okay
math-ec	cratonvm	124	TIMEOUT	360.2	1g	
math-ec	hotspot	0	OK	50.1	1g	OK (14 tests)
math-ec	tornadovm	0	OK	49.4	1g	OK (14 tests)
math-raw	cratonvm	0	OK	2.7	1g	OK (4 tests)
math-raw	hotspot	0	OK	0.6	1g	OK (4 tests)
math-raw	tornadovm	0	OK	1.1	1g	OK (4 tests)
math	cratonvm	0	OK	9.2	1g	OK (5 tests)
math	hotspot	0	OK	1.2	1g	OK (5 tests)
math	tornadovm	0	OK	1.5	1g	OK (5 tests)
crypto-regression	cratonvm	124	TIMEOUT	360.2	4g	AESLight: Okay
crypto-regression	hotspot	0	OK	169.2	4g	=>  LEA: Exception: java.lang.StringIndexOutOfBoundsException: Range [0, -1) out of bounds for length 2
crypto-regression	tornadovm	0	OK	178.5	4g	=>  LEA: Exception: java.lang.StringIndexOutOfBoundsException: Range [0, -1) out of bounds for length 2
crypto-prng-regression	cratonvm	0	OK	65.7	1g	FixedSecureRandom: Okay
crypto-prng-regression	hotspot	0	OK	1.0	1g	FixedSecureRandom: Okay
crypto-prng-regression	tornadovm	0	OK	1.3	1g	FixedSecureRandom: Okay
pqc-crypto-regression	cratonvm	0	OK	234.1	2g	NewHope: Okay
pqc-crypto-regression	hotspot	0	OK	2.2	2g	NewHope: Okay
pqc-crypto-regression	tornadovm	0	OK	2.7	2g	NewHope: Okay
util-encoders	cratonvm	0	OK	36.5	1g	OK (15 tests)
util-encoders	hotspot	0	OK	0.7	1g	OK (15 tests)
util-encoders	tornadovm	0	OK	1.1	1g	OK (15 tests)
