bench	variant	rc	state	ms	checksum	sig
arith1500M	cratonvm-jit	0	OK	9388	2812500002999999995	
arith1500M	cratonvm-nojit	124	TIMEOUT	NA	NA	
arith1500M	hotspot	0	OK	5044	2812500002999999995	
arith1500M	tornadovm	0	OK	5495	2812500002999999995	
fib44	cratonvm-jit	0	OK	7901	701408733	
fib44	cratonvm-nojit	124	TIMEOUT	NA	NA	
fib44	hotspot	0	OK	4052	701408733	
fib44	tornadovm	0	OK	4272	701408733	
sieve250k	cratonvm-jit	0	OK	2429	22044	
sieve250k	cratonvm-nojit	0	OK	142337	22044	
sieve250k	hotspot	0	OK	1652	22044	
sieve250k	tornadovm	0	OK	1428	22044	
matrix600	cratonvm-jit	0	OK	876	6479950792	
matrix600	cratonvm-nojit	0	OK	58730	6479950792	
matrix600	hotspot	0	OK	523	6479950792	
matrix600	tornadovm	0	OK	497	6479950792	
bintrees18	cratonvm-jit	0	OK	14824	68332206	
bintrees18	cratonvm-nojit	124	TIMEOUT	NA	NA	
bintrees18	hotspot	0	OK	688	68332206	
bintrees18	tornadovm	0	OK	641	68332206	
vadd2_28	cratonvm-jit	0	OK	2455	108086390654238720	
vadd2_28	cratonvm-nojit	0	OK	197827	108086390654238720	
vadd2_28	hotspot	0	OK	1805	108086390654238720	
vadd2_28	tornadovm	0	OK	1688	108086390654238720	
