class	signature
org.hibernate.orm.test.annotations.manytoone.ManyToOneJoinTest	org.junit.platform.commons.JUnitException: Chain of InvocationInterceptors called invocation multiple times instead of just once: org.junit.jupiter.engine.exten
org.hibernate.orm.test.cdi.events.delayed.DelayedCdiSupportTest	java.lang.RuntimeException: Could not configure StandardServiceRegistryBuilder
org.hibernate.orm.test.cdi.general.hibernatesearch.standard.HibernateSearchStandardCdiSupportTest	org.jboss.weld.exceptions.IllegalArgumentException: WELD-001301: Annotation QualifierInstance {annotationClass=interface jakarta.enterprise.inject.Produces, val
org.hibernate.orm.test.cdi.type.CdiSmokeTests	org.jboss.weld.exceptions.IllegalArgumentException: WELD-001301: Annotation QualifierInstance {annotationClass=interface jakarta.enterprise.inject.Produces, val
org.hibernate.orm.test.sql.storedproc.ResultMappingTest	org.hibernate.exception.SQLGrammarException: Could not prepare statement [Function "FINDONEUSER" not found; SQL statement:
org.hibernate.orm.test.stats.ExplicitQueryStatsMaxSizeTest	org.opentest4j.AssertionFailedError: expected: <0> but was: <1000>
org.hibernate.orm.test.bootstrap.registry.classloading.ClassLoaderLeaksUtilityTest	java.lang.IllegalStateException: Not being loaded by the expected classloader
org.hibernate.orm.test.cdi.general.mixed.DelayedMixedAccessTest	org.jboss.weld.exceptions.IllegalArgumentException: WELD-001301: Annotation QualifierInstance {annotationClass=interface jakarta.enterprise.inject.Produces, val
org.hibernate.orm.test.cdi.type.SimpleTests	org.jboss.weld.exceptions.IllegalArgumentException: WELD-001301: Annotation QualifierInstance {annotationClass=interface jakarta.enterprise.inject.Produces, val
org.hibernate.orm.test.entitygraph.EntityGraphBatchSizeTest	java.lang.AssertionError: 
org.hibernate.orm.test.service.ClassLoaderServiceImplTest	java.lang.AssertionError: 
org.hibernate.orm.test.sql.storedproc.StoredProcedureResultSetMappingTest	org.hibernate.exception.SQLGrammarException: Could not prepare statement [Function "ALLEMPLOYEENAMES" not found; SQL statement:
org.hibernate.orm.test.stateless.StatelessSessionPersistentContextTest	org.opentest4j.AssertionFailedError: StatelessSession: PersistenceContext has not been cleared ==> expected: <true> but was: <false>
