# class	method	descriptor	kind	registered_by	bucket
# GATED, NOT deletion candidates: this VM ALLOCATES the class, so it reaches
# these registrations through its own instances and no census of JDK images can
# adjudicate them. Split out 2026-08-10 by the class-level fifth-image rule.
com/sun/jmx/mbeanserver/MappedMXBeanType	getMappedMXBeanType	(Ljava/lang/reflect/Type;)Lcom/sun/jmx/mbeanserver/MappedMXBeanType;	bridge	native-builtins/src/jmx_openmbean.rs:1367	class-absent
com/sun/jmx/mbeanserver/OpenConverter	toConverter	(Ljava/lang/reflect/Type;)Lcom/sun/jmx/mbeanserver/OpenConverter;	bridge	native-builtins/src/jmx_openmbean.rs:1356	class-absent
com/sun/net/httpserver/HttpExchange$ResponseBody	close	()V	bridge	native-builtins/src/net_phase_e.rs:16212	class-absent
com/sun/net/httpserver/HttpExchange$ResponseBody	flush	()V	bridge	native-builtins/src/net_phase_e.rs:16211	class-absent
com/sun/net/httpserver/HttpExchange$ResponseBody	write	(I)V	bridge	native-builtins/src/net_phase_e.rs:16181	class-absent
com/sun/net/httpserver/HttpExchange$ResponseBody	write	([B)V	bridge	native-builtins/src/net_phase_e.rs:16156	class-absent
com/sun/net/httpserver/HttpExchange$ResponseBody	write	([BII)V	bridge	native-builtins/src/net_phase_e.rs:16123	class-absent
java/lang/foreign/DowncallHandle	invoke	([Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2782	class-absent
java/lang/foreign/DowncallHandle	invokeBasic	([Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2794	class-absent
java/lang/foreign/DowncallHandle	invokeExact	([Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2788	class-absent
java/lang/foreign/DowncallHandle	type	()Ljava/lang/invoke/MethodType;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2800	class-absent
java/lang/reflect/Proxy$Dispatch	invokeProxy	(Ljava/lang/Object;Ljava/lang/reflect/Method;[Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-builtins/src/reflect_annotations.rs:2678	class-absent
java/lang/reflect/Proxy$Instance	<init>	(Ljava/lang/reflect/InvocationHandler;[Ljava/lang/Class;)V	bridge	native-builtins/src/reflect_annotations.rs:2664	class-absent
java/lang/reflect/Proxy$Instance	getProxyInterfacesNative	()[Ljava/lang/Class;	bridge	native-builtins/src/reflect_annotations.rs:2646	class-absent
java/util/ArrayDeque$Itr	hasNext	()Z	bridge	native-collections/src/lib.rs:34658	class-absent
java/util/ArrayDeque$Itr	next	()Ljava/lang/Object;	bridge	native-collections/src/lib.rs:34659	class-absent
java/util/ArrayDeque$Itr	remove	()V	bridge	native-collections/src/lib.rs:34671	class-absent
java/util/Enumeration$Impl	hasMoreElements	()Z	bridge	native-builtins/src/classloader.rs:5648	class-absent
java/util/Enumeration$Impl	hasNext	()Z	bridge	native-builtins/src/classloader.rs:5673	class-absent
java/util/Enumeration$Impl	next	()Ljava/lang/Object;	bridge	native-builtins/src/classloader.rs:5683	class-absent
java/util/Enumeration$Impl	nextElement	()Ljava/lang/Object;	bridge	native-builtins/src/classloader.rs:5658	class-absent
java/util/HashMap$Entry	equals	(Ljava/lang/Object;)Z	bridge	native-collections/src/lib.rs:14789	class-absent
java/util/HashMap$Entry	getKey	()Ljava/lang/Object;	bridge	native-collections/src/lib.rs:14775	class-absent
java/util/HashMap$Entry	getValue	()Ljava/lang/Object;	bridge	native-collections/src/lib.rs:14776	class-absent
java/util/HashMap$Entry	hashCode	()I	bridge	native-collections/src/lib.rs:14788	class-absent
