# class	method	descriptor	kind	registered_by	bucket
java/awt/Graphics	getTransform	()Ljava/awt/geom/AffineTransform;	bridge	native-awt/src/natives.rs:1528	method-nowhere
java/awt/Graphics	rotate	(D)V	bridge	native-awt/src/natives.rs:1561	method-nowhere
java/awt/Graphics	scale	(DD)V	bridge	native-awt/src/natives.rs:1568	method-nowhere
java/awt/Graphics	setRenderingHint	(Ljava/awt/RenderingHints$Key;Ljava/lang/Object;)V	bridge	native-awt/src/natives.rs:1577	method-nowhere
java/awt/Graphics	setStroke	(Ljava/awt/Stroke;)V	bridge	native-awt/src/natives.rs:1637	method-nowhere
java/awt/Graphics	setTransform	(Ljava/awt/geom/AffineTransform;)V	bridge	native-awt/src/natives.rs:1500	method-nowhere
java/beans/PropertyChangeSupport	firePropertyChange	(Ljava/lang/String;ILjava/lang/Object;)V	bridge	native-builtins/src/phases_late/beans_jndi.rs:1398	method-nowhere
java/io/Console	istty	()Z	bridge	native-builtins/src/lib.rs:8721	method-nowhere
java/io/Console$1	charset	()Ljava/nio/charset/Charset;	bridge	native-builtins/src/shared_secrets_bridge.rs:1771	method-nowhere
java/io/File	pathSeparator	Ljava/lang/String;	bridge	native-builtins/src/phases_late/nio_file.rs:14166	method-nowhere
java/io/File	pathSeparatorChar	C	bridge	native-builtins/src/phases_late/nio_file.rs:14174	method-nowhere
java/io/File	separator	Ljava/lang/String;	bridge	native-builtins/src/phases_late/nio_file.rs:14157	method-nowhere
java/io/File	separatorChar	C	bridge	native-builtins/src/phases_late/nio_file.rs:14163	method-nowhere
java/io/FileDescriptor	registerNatives	()V	bridge	native-builtins/src/lib.rs:14365	method-nowhere
java/io/FileInputStream	registerNatives	()V	bridge	native-builtins/src/lib.rs:14353	method-nowhere
java/io/FileOutputStream	registerNatives	()V	bridge	native-builtins/src/lib.rs:14359	method-nowhere
java/io/ObjectStreamClass	hasStaticInitializer	(Ljava/lang/Class;Z)Z	bridge	native-builtins/src/lib.rs:18721	method-nowhere
