# class	method	descriptor	kind	registered_by	gated_because
com/sun/jmx/mbeanserver/MappedMXBeanType	getMappedMXBeanType	(Ljava/lang/reflect/Type;)Lcom/sun/jmx/mbeanserver/MappedMXBeanType;	synthetic-stub	native-builtins/src/jmx_openmbean.rs:1372	kind=synthetic-stub
com/sun/jmx/mbeanserver/OpenConverter	toConverter	(Ljava/lang/reflect/Type;)Lcom/sun/jmx/mbeanserver/OpenConverter;	synthetic-stub	native-builtins/src/jmx_openmbean.rs:1361	kind=synthetic-stub
com/sun/net/httpserver/HttpExchange$ResponseBody	close	()V	synthetic-stub	native-builtins/src/net_phase_e.rs:16675	kind=synthetic-stub
com/sun/net/httpserver/HttpExchange$ResponseBody	flush	()V	synthetic-stub	native-builtins/src/net_phase_e.rs:16674	kind=synthetic-stub
com/sun/net/httpserver/HttpExchange$ResponseBody	write	(I)V	synthetic-stub	native-builtins/src/net_phase_e.rs:16644	kind=synthetic-stub
com/sun/net/httpserver/HttpExchange$ResponseBody	write	([B)V	synthetic-stub	native-builtins/src/net_phase_e.rs:16619	kind=synthetic-stub
com/sun/net/httpserver/HttpExchange$ResponseBody	write	([BII)V	synthetic-stub	native-builtins/src/net_phase_e.rs:16586	kind=synthetic-stub
java/lang/Compiler	command	(Ljava/lang/Object;)Ljava/lang/Object;	synthetic-stub	native-builtins/src/deprecated_lang.rs:441	kind=synthetic-stub
java/lang/Compiler	compileClass	(Ljava/lang/Class;)Z	synthetic-stub	native-builtins/src/deprecated_lang.rs:427	kind=synthetic-stub
java/lang/Compiler	compileClasses	(Ljava/lang/String;)Z	synthetic-stub	native-builtins/src/deprecated_lang.rs:433	kind=synthetic-stub
java/lang/Compiler	disable	()V	synthetic-stub	native-builtins/src/deprecated_lang.rs:440	kind=synthetic-stub
java/lang/Compiler	enable	()V	synthetic-stub	native-builtins/src/deprecated_lang.rs:439	kind=synthetic-stub
java/lang/foreign/DowncallHandle	invoke	([Ljava/lang/Object;)Ljava/lang/Object;	synthetic-stub	native-builtins/src/phases_late/foreign_ffm.rs:2815	kind=synthetic-stub
java/lang/foreign/DowncallHandle	invokeBasic	([Ljava/lang/Object;)Ljava/lang/Object;	synthetic-stub	native-builtins/src/phases_late/foreign_ffm.rs:2827	kind=synthetic-stub
java/lang/foreign/DowncallHandle	invokeExact	([Ljava/lang/Object;)Ljava/lang/Object;	synthetic-stub	native-builtins/src/phases_late/foreign_ffm.rs:2821	kind=synthetic-stub
java/lang/foreign/DowncallHandle	type	()Ljava/lang/invoke/MethodType;	synthetic-stub	native-builtins/src/phases_late/foreign_ffm.rs:2833	kind=synthetic-stub
java/lang/reflect/Proxy$Dispatch	invokeProxy	(Ljava/lang/Object;Ljava/lang/reflect/Method;[Ljava/lang/Object;)Ljava/lang/Object;	bridge	native-builtins/src/reflect_annotations.rs:2838	class in no supported image
java/lang/reflect/Proxy$Instance	<init>	(Ljava/lang/reflect/InvocationHandler;[Ljava/lang/Class;)V	bridge	native-builtins/src/reflect_annotations.rs:2824	class in no supported image
java/lang/reflect/Proxy$Instance	getProxyInterfacesNative	()[Ljava/lang/Class;	bridge	native-builtins/src/reflect_annotations.rs:2806	class in no supported image
java/net/InetAddressImplFactory	isIPv4Available	()Z	synthetic-stub	native-builtins/src/inet_address.rs:654	kind=synthetic-stub
java/net/InetAddressImplFactory	isIPv6Supported	()Z	synthetic-stub	native-builtins/src/inet_address.rs:648	kind=synthetic-stub
java/net/PlainServerSocketImpl	init	()V	synthetic-stub	native-builtins/src/plain_socket.rs:998	kind=synthetic-stub
java/net/PlainServerSocketImpl	initProto	()V	synthetic-stub	native-builtins/src/plain_socket.rs:997	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketAccept	(Ljava/net/SocketImpl;)V	synthetic-stub	native-builtins/src/plain_socket.rs:923	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketAvailable	()I	synthetic-stub	native-builtins/src/plain_socket.rs:990	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketBind	(Ljava/net/InetAddress;I)V	synthetic-stub	native-builtins/src/plain_socket.rs:919	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketClose0	()V	synthetic-stub	native-builtins/src/plain_socket.rs:931	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketClose0	(Z)V	synthetic-stub	native-builtins/src/plain_socket.rs:930	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketConnect	(Ljava/net/InetAddress;II)V	synthetic-stub	native-builtins/src/plain_socket.rs:912	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketCreate	(Z)V	synthetic-stub	native-builtins/src/plain_socket.rs:907	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketCreate	(ZZ)V	synthetic-stub	native-builtins/src/plain_socket.rs:910	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketGetOption	(I)I	synthetic-stub	native-builtins/src/plain_socket.rs:969	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketGetOption	(ILjava/lang/Object;)I	synthetic-stub	native-builtins/src/plain_socket.rs:970	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketListen	(I)V	synthetic-stub	native-builtins/src/plain_socket.rs:921	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketSendUrgentData	(I)V	synthetic-stub	native-builtins/src/plain_socket.rs:992	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketSetOption	(ILjava/lang/Object;)V	synthetic-stub	native-builtins/src/plain_socket.rs:962	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketSetOption	(IZLjava/lang/Object;)V	synthetic-stub	native-builtins/src/plain_socket.rs:935	kind=synthetic-stub
java/net/PlainServerSocketImpl	socketShutdown	(I)V	synthetic-stub	native-builtins/src/plain_socket.rs:933	kind=synthetic-stub
java/net/PlainSocketImpl	init	()V	synthetic-stub	native-builtins/src/plain_socket.rs:998	kind=synthetic-stub
java/net/PlainSocketImpl	initProto	()V	synthetic-stub	native-builtins/src/plain_socket.rs:997	kind=synthetic-stub
java/net/PlainSocketImpl	socketAccept	(Ljava/net/SocketImpl;)V	synthetic-stub	native-builtins/src/plain_socket.rs:923	kind=synthetic-stub
java/net/PlainSocketImpl	socketAvailable	()I	synthetic-stub	native-builtins/src/plain_socket.rs:990	kind=synthetic-stub
