# jdk-baseline	2
# kind	class
# name	java.lang.ModuleLayer
# module	java.base
# java.version	25.0.3
# java.vm.version	25.0.3+9-LTS
# java.vendor.version	Microsoft-13877124
# source	jrt:/modules/java.base/java/lang/ModuleLayer.class
# generator	scripts/jdk-baseline/generate.py
# regenerate	python scripts/jdk-baseline/generate.py --update
# public-methods	14
# protected-methods	0
# declared-methods	26
# declared-fields	8
# rows	38
# columns	kind	name	descriptor	flags
CLASS	java.lang.ModuleLayer		public,final
EXTENDS	java.lang.Object		
SUPERTYPE	java.lang.Object		
METHOD	<clinit>	()V	static
METHOD	<init>	(Ljava/lang/module/Configuration;Ljava/util/List;Ljava/util/function/Function;)V	private
METHOD	addEnableNativeAccess	(Ljava/lang/String;)Z	
METHOD	bindToLoader	(Ljava/lang/ClassLoader;)V	
METHOD	boot	()Ljava/lang/ModuleLayer;	public,static
METHOD	checkConfiguration	(Ljava/lang/module/Configuration;Ljava/util/List;)V	private,static
METHOD	checkForDuplicatePkgs	(Ljava/lang/module/Configuration;Ljava/util/function/Function;)V	private,static
METHOD	configuration	()Ljava/lang/module/Configuration;	public
METHOD	defineModules	(Ljava/lang/module/Configuration;Ljava/util/List;Ljava/util/function/Function;)Ljava/lang/ModuleLayer$Controller;	public,static
METHOD	defineModules	(Ljava/lang/module/Configuration;Ljava/util/function/Function;)Ljava/lang/ModuleLayer;	public
METHOD	defineModulesWithManyLoaders	(Ljava/lang/module/Configuration;Ljava/lang/ClassLoader;)Ljava/lang/ModuleLayer;	public
METHOD	defineModulesWithManyLoaders	(Ljava/lang/module/Configuration;Ljava/util/List;Ljava/lang/ClassLoader;)Ljava/lang/ModuleLayer$Controller;	public,static
METHOD	defineModulesWithOneLoader	(Ljava/lang/module/Configuration;Ljava/lang/ClassLoader;)Ljava/lang/ModuleLayer;	public
METHOD	defineModulesWithOneLoader	(Ljava/lang/module/Configuration;Ljava/util/List;Ljava/lang/ClassLoader;)Ljava/lang/ModuleLayer$Controller;	public,static
METHOD	empty	()Ljava/lang/ModuleLayer;	public,static
METHOD	fail	(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/LayerInstantiationException;	private,static,varargs
METHOD	findLoader	(Ljava/lang/String;)Ljava/lang/ClassLoader;	public
METHOD	findModule	(Ljava/lang/String;)Ljava/util/Optional;	public
METHOD	getServicesCatalog	()Ljdk/internal/module/ServicesCatalog;	
METHOD	lambda$checkForDuplicatePkgs$0	(Ljava/lang/ClassLoader;)Ljava/util/Set;	private,static,synthetic
METHOD	lambda$defineModulesWithOneLoader$0	(Ljdk/internal/loader/Loader;Ljava/lang/String;)Ljava/lang/ClassLoader;	private,static,synthetic
METHOD	lambda$findModule$0	(Ljava/lang/String;Ljava/lang/ModuleLayer;)Ljava/lang/Module;	private,static,synthetic
METHOD	layers	()Ljava/util/stream/Stream;	
METHOD	layers	(Ljava/lang/ClassLoader;)Ljava/util/stream/Stream;	static
METHOD	modules	()Ljava/util/Set;	public
METHOD	parents	()Ljava/util/List;	public
METHOD	toString	()Ljava/lang/String;	public
FIELD	CLV	Ljdk/internal/loader/ClassLoaderValue;	private,static,final
FIELD	EMPTY_LAYER	Ljava/lang/ModuleLayer;	private,static
FIELD	allLayers	Ljava/util/List;	private,volatile
FIELD	cf	Ljava/lang/module/Configuration;	private,final
FIELD	modules	Ljava/util/Set;	private,volatile
FIELD	nameToModule	Ljava/util/Map;	private,final
FIELD	parents	Ljava/util/List;	private,final
FIELD	servicesCatalog	Ljdk/internal/module/ServicesCatalog;	private,volatile
