# jdk-baseline	2
# kind	class
# name	java.util.AbstractQueue
# module	java.base
# java.version	25.0.3
# java.vm.version	25.0.3+9-LTS
# java.vendor.version	Microsoft-13877124
# source	jrt:/modules/java.base/java/util/AbstractQueue.class
# generator	scripts/jdk-baseline/generate.py
# regenerate	python scripts/jdk-baseline/generate.py --update
# public-methods	5
# protected-methods	0
# declared-methods	6
# declared-fields	0
# rows	14
# columns	kind	name	descriptor	flags
CLASS	java.util.AbstractQueue		public,abstract
EXTENDS	java.util.AbstractCollection		
IMPLEMENTS	java.util.Queue		
SUPERTYPE	java.lang.Iterable		
SUPERTYPE	java.lang.Object		
SUPERTYPE	java.util.AbstractCollection		
SUPERTYPE	java.util.Collection		
SUPERTYPE	java.util.Queue		
METHOD	<init>	()V	protected
METHOD	add	(Ljava/lang/Object;)Z	public
METHOD	addAll	(Ljava/util/Collection;)Z	public
METHOD	clear	()V	public
METHOD	element	()Ljava/lang/Object;	public
METHOD	remove	()Ljava/lang/Object;	public
