# jdk-baseline	2
# kind	class
# name	java.util.concurrent.StructuredTaskScope
# module	java.base
# java.version	25.0.3
# java.vm.version	25.0.3+9-LTS
# java.vendor.version	Microsoft-13877124
# source	jrt:/modules/java.base/java/util/concurrent/StructuredTaskScope.class
# generator	scripts/jdk-baseline/generate.py
# regenerate	python scripts/jdk-baseline/generate.py --update
# public-methods	8
# protected-methods	0
# declared-methods	8
# declared-fields	0
# rows	13
# columns	kind	name	descriptor	flags
CLASS	java.util.concurrent.StructuredTaskScope		public,interface,abstract
EXTENDS	java.lang.Object		
IMPLEMENTS	java.lang.AutoCloseable		
SUPERTYPE	java.lang.AutoCloseable		
SUPERTYPE	java.lang.Object		
METHOD	close	()V	public,abstract
METHOD	fork	(Ljava/lang/Runnable;)Ljava/util/concurrent/StructuredTaskScope$Subtask;	public,abstract
METHOD	fork	(Ljava/util/concurrent/Callable;)Ljava/util/concurrent/StructuredTaskScope$Subtask;	public,abstract
METHOD	isCancelled	()Z	public,abstract
METHOD	join	()Ljava/lang/Object;	public,abstract
METHOD	open	()Ljava/util/concurrent/StructuredTaskScope;	public,static
METHOD	open	(Ljava/util/concurrent/StructuredTaskScope$Joiner;)Ljava/util/concurrent/StructuredTaskScope;	public,static
METHOD	open	(Ljava/util/concurrent/StructuredTaskScope$Joiner;Ljava/util/function/Function;)Ljava/util/concurrent/StructuredTaskScope;	public,static
