probe	vm	rep	iterations	elapsed_ns	checksum	load1
interp-fast	hotspot	1	2000000	43057720	2326962235877	4.07
interp-fast	cratonvm	1	2000000	532483231	2326962235877	4.07
interp-fast	cratonvm	2	2000000	533951753	2326962235877	4.07
interp-fast	hotspot	2	2000000	42342834	2326962235877	4.07
interp-fast	hotspot	3	2000000	47231825	2326962235877	4.07
interp-fast	cratonvm	3	2000000	542112156	2326962235877	4.07
interp-slow	hotspot	1	2000000	40464108	2326962235877	4.07
interp-slow	cratonvm	1	2000000	526505376	2326962235877	4.07
interp-slow	cratonvm	2	2000000	534483081	2326962235877	4.07
interp-slow	hotspot	2	2000000	42774459	2326962235877	4.07
interp-slow	hotspot	3	2000000	38318597	2326962235877	4.07
interp-slow	cratonvm	3	2000000	524877141	2326962235877	4.07
dispatch-mono	hotspot	1	10000000	9323750	50000005000000	4.06
dispatch-mono	cratonvm	1	10000000	50810393	50000005000000	4.06
dispatch-mono	cratonvm	2	10000000	50647515	50000005000000	4.06
dispatch-mono	hotspot	2	10000000	8390643	50000005000000	4.06
dispatch-mono	hotspot	3	10000000	9648704	50000005000000	4.06
dispatch-mono	cratonvm	3	10000000	49940962	50000005000000	4.06
dispatch-poly4	hotspot	1	10000000	21876519	3742781051291872	4.06
dispatch-poly4	cratonvm	1	10000000	55318380	3742781051291872	4.06
dispatch-poly4	cratonvm	2	10000000	282365633	3742781051291872	4.06
dispatch-poly4	hotspot	2	10000000	22099055	3742781051291872	4.06
dispatch-poly4	hotspot	3	10000000	21677794	3742781051291872	4.06
dispatch-poly4	cratonvm	3	10000000	53121271	3742781051291872	4.06
dispatch-mega16	hotspot	1	10000000	21825460	1226192965146868	4.06
dispatch-mega16	cratonvm	1	10000000	892453011	1226192965146868	4.06
dispatch-mega16	cratonvm	2	10000000	884995628	1226192965146868	4.06
dispatch-mega16	hotspot	2	10000000	21884730	1226192965146868	4.06
dispatch-mega16	hotspot	3	10000000	23465222	1226192965146868	4.06
dispatch-mega16	cratonvm	3	10000000	892286288	1226192965146868	4.06
allocation	hotspot	1	500000	7414338	1000012500006	4.06
allocation	cratonvm	1	500000	1469495779	1000012500006	4.06
allocation	cratonvm	2	500000	1464565276	1000012500006	4.06
allocation	hotspot	2	500000	7444504	1000012500006	4.06
allocation	hotspot	3	500000	7446827	1000012500006	4.06
allocation	cratonvm	3	500000	1465750944	1000012500006	4.06
exception	hotspot	1	250000	6284150	1125000	4.06
exception	cratonvm	1	250000	56574321	1125000	4.06
exception	cratonvm	2	250000	57561051	1125000	4.06
exception	hotspot	2	250000	6771792	1125000	4.06
exception	hotspot	3	250000	6545468	1125000	4.06
exception	cratonvm	3	250000	56735696	1125000	4.21
monitor	hotspot	1	2000000	21077072	15000000	4.21
monitor	cratonvm	1	2000000	453220071	15000000	4.21
monitor	cratonvm	2	2000000	452965093	15000000	4.21
monitor	hotspot	2	2000000	19990972	15000000	4.21
monitor	hotspot	3	2000000	19934467	15000000	4.21
monitor	cratonvm	3	2000000	454995158	15000000	4.21
native	hotspot	1	500000	11341928	7484087	4.21
native	cratonvm	1	500000	61891973	30774021	4.21
native	cratonvm	2	500000	61836228	62499313	4.21
native	hotspot	2	500000	11280004	29040494	4.21
native	hotspot	3	500000	11319514	58299057	4.21
native	cratonvm	3	500000	66369197	122684513	4.21
