probe	vm	rep	iterations	elapsed_ns	checksum	load1
interp-fast	hotspot	1	2000000	45004685	2326962235877	4.37
interp-fast	cratonvm	1	2000000	574775366	2326962235877	4.37
interp-fast	cratonvm	2	2000000	573515714	2326962235877	4.37
interp-fast	hotspot	2	2000000	43720457	2326962235877	4.37
interp-fast	hotspot	3	2000000	41649092	2326962235877	4.37
interp-fast	cratonvm	3	2000000	588129788	2326962235877	4.37
interp-slow	hotspot	1	2000000	44263641	2326962235877	4.37
interp-slow	cratonvm	1	2000000	1534507357	2326962235877	4.37
interp-slow	cratonvm	2	2000000	1552277672	2326962235877	4.37
interp-slow	hotspot	2	2000000	46211748	2326962235877	4.42
interp-slow	hotspot	3	2000000	57735641	2326962235877	4.42
interp-slow	cratonvm	3	2000000	1491321091	2326962235877	4.42
dispatch-mono	hotspot	1	10000000	8860009	50000005000000	4.42
dispatch-mono	cratonvm	1	10000000	10479195681	50000005000000	4.42
dispatch-mono	cratonvm	2	10000000	10631104772	50000005000000	4.35
dispatch-mono	hotspot	2	10000000	7411107	50000005000000	4.45
dispatch-mono	hotspot	3	10000000	9338232	50000005000000	4.66
dispatch-mono	cratonvm	3	10000000	11281091473	50000005000000	4.66
dispatch-poly4	hotspot	1	10000000	23999520	3742781051291872	4.87
dispatch-poly4	cratonvm	1	10000000	10942073691	3742781051291872	4.87
dispatch-poly4	cratonvm	2	10000000	10593168711	3742781051291872	5.20
dispatch-poly4	hotspot	2	10000000	23393488	3742781051291872	5.17
dispatch-poly4	hotspot	3	10000000	24284150	3742781051291872	5.17
dispatch-poly4	cratonvm	3	10000000	11001664733	3742781051291872	5.17
dispatch-mega16	hotspot	1	10000000	24098602	1226192965146868	5.21
dispatch-mega16	cratonvm	1	10000000	11318316297	1226192965146868	5.21
dispatch-mega16	cratonvm	2	10000000	10810875591	1226192965146868	5.33
dispatch-mega16	hotspot	2	10000000	22821076	1226192965146868	5.20
dispatch-mega16	hotspot	3	10000000	22735446	1226192965146868	5.20
dispatch-mega16	cratonvm	3	10000000	11104084772	1226192965146868	5.20
allocation	hotspot	1	500000	7263451	1000012500006	5.17
allocation	cratonvm	1	500000	1486692220	1000012500006	5.17
allocation	cratonvm	2	500000	1470188713	1000012500006	5.08
allocation	hotspot	2	500000	7421429	1000012500006	5.08
allocation	hotspot	3	500000	7457093	1000012500006	5.08
allocation	cratonvm	3	500000	1459531930	1000012500006	5.08
exception	hotspot	1	250000	6409684	1125000	5.08
exception	cratonvm	1	250000	58050177	1125000	5.08
exception	cratonvm	2	250000	57931558	1125000	5.08
exception	hotspot	2	250000	6412188	1125000	4.99
exception	hotspot	3	250000	6468494	1125000	4.99
exception	cratonvm	3	250000	60418841	1125000	4.99
monitor	hotspot	1	2000000	20848249	15000000	4.99
monitor	cratonvm	1	2000000	464178282	15000000	4.99
monitor	cratonvm	2	2000000	468391685	15000000	4.99
monitor	hotspot	2	2000000	19942545	15000000	4.99
monitor	hotspot	3	2000000	20088787	15000000	4.99
monitor	cratonvm	3	2000000	470683542	15000000	4.99
native	hotspot	1	500000	12048158	6284627	4.99
native	cratonvm	1	500000	66774202	18078175	4.99
native	cratonvm	2	500000	66806872	125331947	4.99
native	hotspot	2	500000	11401026	51371750	4.99
native	hotspot	3	500000	11278561	3374197	4.99
native	cratonvm	3	500000	63298279	73227604	4.99
