probe	vm	rep	iterations	elapsed_ns	checksum	load1
interp-fast	hotspot	1	100000	3538156	-194373789800	26.98
interp-fast	cratonvm	1	100000	47463550	-194373789800	26.98
interp-slow	hotspot	1	100000	6217977	-194373789800	26.98
interp-slow	cratonvm	1	100000	49971560	-194373789800	26.98
dispatch-mono	hotspot	1	100000	3816979	5000050000	26.98
dispatch-mono	cratonvm	1	100000	1507720	5000050000	26.98
dispatch-poly4	hotspot	1	100000	4771990	35946370862200	26.98
dispatch-poly4	cratonvm	1	100000	1488291	35946370862200	26.50
dispatch-mega16	hotspot	1	100000	9407933	11346730763568	26.50
dispatch-mega16	cratonvm	1	100000	9826549	11346730763568	26.50
allocation	hotspot	1	20000	2422710	1600500006	26.50
allocation	cratonvm	1	20000	109359376	1600500006	26.50
exception	hotspot	1	20000	3346594	90000	26.50
exception	cratonvm	1	20000	11432759	90000	26.50
monitor	hotspot	1	20000	430684	150000	26.50
monitor	cratonvm	1	20000	9010589	150000	26.50
native	hotspot	1	20000	880207	331124	26.50
native	cratonvm	1	20000	6689012	5002545	26.50
