# jdk-only method-granular multi-image sweep — H25-1 N1
# regenerate: scripts/jdk-only-image-method-index.py per image, then scripts/jdk-only-image-method-sweep.py --tsv
# census: /data/w45work/census.json (8317 registrations, strict mode)
# images: jdk17-linux=17.0.20.1 jdk17-mac-x64=17.0.20.1 jdk17-windows=17.0.20 jdk21-linux=21.0.12 jdk21-mac-x64=21.0.12 jdk21-windows=21.0.12 jdk25-linux=25.0.4 jdk25-mac-x64=25.0.4 jdk25-windows=25.0.4
# canary java/lang/StringUTF16.isBigEndian()Z: cross-version
# verdicts: cross-version=399 dead-everywhere=263 field-shaped=49 live=6507 no-image-class=1099
#
# cross-version rows MUST NOT be deleted: an image this host does not
# run declares the method.
# field-shaped rows MUST NOT be deleted either: the name IS on the
# hierarchy, as a FIELD. An index built from the method table alone calls
# them dead and is wrong; WORKER 3's independent javap sweep found the
# same shape (38 rows there, 42 here).
# dead-everywhere rows are the retirable population, and retiring them is
# predicted to move the shadow census by ZERO — they are never
# dispatched (H25-1 §3).
verdict	shape	class	name	descriptor	owns_slot	registered_by	declared_by
cross-version	-	com/sun/management/internal/OperatingSystemImpl	getMaxFileDescriptorCount0	()J	yes	native-builtins/src/jmx.rs:3695	jdk17-linux,jdk17-mac-x64,jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	com/sun/management/internal/OperatingSystemImpl	getOpenFileDescriptorCount0	()J	yes	native-builtins/src/jmx.rs:3695	jdk17-linux,jdk17-mac-x64,jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/io/Console$1	console	()Ljava/io/Console;	yes	native-builtins/src/shared_secrets_bridge.rs:2431	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/io/FileDescriptor	sync0	()V	yes	native-builtins/src/lib.rs:16288	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/io/FileInputStream	isRegularFile0	(Ljava/io/FileDescriptor;)Z	yes	native-io/src/lib.rs:7766	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/io/PrintStream	charset	()Ljava/nio/charset/Charset;	yes	native-builtins/src/lib.rs:38461	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/io/RandomAccessFile	length0	()J	yes	native-io/src/random_access_file.rs:643	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/io/RandomAccessFile	readBytes0	([BII)I	yes	native-io/src/random_access_file.rs:590	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/io/RandomAccessFile	setLength0	(J)V	yes	native-io/src/random_access_file.rs:644	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/io/RandomAccessFile	writeBytes0	([BII)V	yes	native-io/src/random_access_file.rs:598	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/io/UnixFileSystem	checkAccess0	(Ljava/io/File;I)Z	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/io/UnixFileSystem	createDirectory0	(Ljava/io/File;)Z	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/io/UnixFileSystem	createFileExclusively0	(Ljava/lang/String;)Z	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/io/UnixFileSystem	getLastModifiedTime0	(Ljava/io/File;)J	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/io/UnixFileSystem	getLength0	(Ljava/io/File;)J	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/io/UnixFileSystem	getSpace0	(Ljava/io/File;I)J	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/io/UnixFileSystem	list0	(Ljava/io/File;)[Ljava/lang/String;	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/io/UnixFileSystem	setLastModifiedTime0	(Ljava/io/File;J)Z	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/io/UnixFileSystem	setPermission0	(Ljava/io/File;IZZ)Z	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/io/UnixFileSystem	setReadOnly0	(Ljava/io/File;)Z	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/io/WinNTFileSystem	checkAccess0	(Ljava/io/File;I)Z	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-windows,jdk25-windows
cross-version	-	java/io/WinNTFileSystem	createDirectory0	(Ljava/io/File;)Z	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-windows,jdk25-windows
cross-version	-	java/io/WinNTFileSystem	createFileExclusively0	(Ljava/lang/String;)Z	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-windows,jdk25-windows
cross-version	-	java/io/WinNTFileSystem	delete0	(Ljava/io/File;)Z	yes	native-builtins/src/phases_late/nio_file.rs:9448	jdk17-windows,jdk21-windows
cross-version	-	java/io/WinNTFileSystem	delete0	(Ljava/io/File;Z)Z	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk25-windows
cross-version	-	java/io/WinNTFileSystem	getBooleanAttributes0	(Ljava/io/File;)I	yes	native-builtins/src/phases_late/nio_file.rs:9486	jdk21-windows,jdk25-windows
cross-version	-	java/io/WinNTFileSystem	getFinalPath0	(Ljava/lang/String;)Ljava/lang/String;	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk25-windows
cross-version	-	java/io/WinNTFileSystem	getLastModifiedTime0	(Ljava/io/File;)J	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-windows,jdk25-windows
cross-version	-	java/io/WinNTFileSystem	getLength0	(Ljava/io/File;)J	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-windows,jdk25-windows
cross-version	-	java/io/WinNTFileSystem	list0	(Ljava/io/File;)[Ljava/lang/String;	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-windows,jdk25-windows
cross-version	-	java/io/WinNTFileSystem	setLastModifiedTime0	(Ljava/io/File;J)Z	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-windows,jdk25-windows
cross-version	-	java/io/WinNTFileSystem	setPermission0	(Ljava/io/File;IZZ)Z	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-windows,jdk25-windows
cross-version	-	java/io/WinNTFileSystem	setReadOnly0	(Ljava/io/File;)Z	yes	native-builtins/src/phases_late/nio_file.rs:9446	jdk21-windows,jdk25-windows
cross-version	-	java/lang/AbstractStringBuilder	repeat	(CI)Ljava/lang/AbstractStringBuilder;	yes	native-builtins/src/lang_string.rs:247	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/AbstractStringBuilder	repeat	(II)Ljava/lang/AbstractStringBuilder;	yes	native-builtins/src/lang_string.rs:241	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/AbstractStringBuilder	repeat	(Ljava/lang/CharSequence;I)Ljava/lang/AbstractStringBuilder;	yes	native-builtins/src/lang_string.rs:555	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Character	isEmoji	(I)Z	yes	native-builtins/src/lang_math.rs:1245	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Character	isEmojiComponent	(I)Z	yes	native-builtins/src/lang_math.rs:1292	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Character	isEmojiModifier	(I)Z	yes	native-builtins/src/lang_math.rs:1266	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Character	isEmojiModifierBase	(I)Z	yes	native-builtins/src/lang_math.rs:1279	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Character	isEmojiPresentation	(I)Z	yes	native-builtins/src/lang_math.rs:1253	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Class	forPrimitiveName	(Ljava/lang/String;)Ljava/lang/Class;	yes	native-builtins/src/lib.rs:13868	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Class	getClassAccessFlagsRaw0	()I	yes	native-builtins/src/lib.rs:14263	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Class	getClassFileVersion0	()I	yes	native-builtins/src/lib.rs:14256	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Class	getProtectionDomain0	()Ljava/security/ProtectionDomain;	yes	native-builtins/src/lib.rs:14273	jdk17-linux,jdk17-mac-x64,jdk17-windows,jdk21-linux,jdk21-mac-x64,jdk21-windows
cross-version	-	java/lang/Math	unsignedMultiplyHigh	(JJ)J	yes	native-builtins/src/lang_math.rs:243	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Object	wait0	(J)V	yes	native-builtins/src/lib.rs:11320	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/ProcessEnvironment	environ	()[[B	yes	native-builtins/src/lib.rs:16948	jdk17-linux,jdk17-mac-x64,jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/lang/ProcessEnvironment	environmentBlock	()Ljava/lang/String;	yes	native-builtins/src/lib.rs:16968	jdk17-windows,jdk21-windows,jdk25-windows
cross-version	-	java/lang/ProcessImpl	forkAndExec	(I[B[B[BI[BI[B[IZ)I	yes	native-io/src/process.rs:5346	jdk17-linux,jdk17-mac-x64,jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/lang/ProcessImpl	init	()V	yes	native-builtins/src/lib.rs:16959	jdk17-linux,jdk17-mac-x64,jdk21-linux,jdk21-mac-x64,jdk25-linux,jdk25-mac-x64
cross-version	-	java/lang/SecurityManager	getRootGroup	()Ljava/lang/ThreadGroup;	yes	native-builtins/src/security_manager.rs:970	jdk17-linux,jdk17-mac-x64,jdk17-windows,jdk21-linux,jdk21-mac-x64,jdk21-windows
cross-version	-	java/lang/StackFrameInfo	expandStackFrameInfo	()V	yes	native-builtins/src/lang_stackwalker.rs:1545	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/StackStreamFactory$AbstractStackWalker	callStackWalk	(IILjdk/internal/vm/ContinuationScope;Ljdk/internal/vm/Continuation;II[Ljava/lang/Object;)Ljava/lang/Object;	yes	native-builtins/src/lang_stackwalker.rs:899	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/StackStreamFactory$AbstractStackWalker	callStackWalk	(JILjdk/internal/vm/ContinuationScope;Ljdk/internal/vm/Continuation;II[Ljava/lang/Object;)Ljava/lang/Object;	yes	native-builtins/src/lang_stackwalker.rs:930	jdk21-linux,jdk21-mac-x64,jdk21-windows
cross-version	-	java/lang/StackStreamFactory$AbstractStackWalker	fetchStackFrames	(IJIII[Ljava/lang/Object;)I	yes	native-builtins/src/lang_stackwalker.rs:990	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/StackStreamFactory$AbstractStackWalker	fetchStackFrames	(JJII[Ljava/lang/Object;)I	yes	native-builtins/src/lang_stackwalker.rs:976	jdk17-linux,jdk17-mac-x64,jdk17-windows,jdk21-linux,jdk21-mac-x64,jdk21-windows
cross-version	-	java/lang/StackTraceElement	initStackTraceElements	([Ljava/lang/StackTraceElement;Ljava/lang/Object;I)V	yes	native-builtins/src/lib.rs:18661	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/StackTraceElement	initStackTraceElements	([Ljava/lang/StackTraceElement;Ljava/lang/Throwable;)V	yes	native-builtins/src/lib.rs:18671	jdk17-linux,jdk17-mac-x64,jdk17-windows
cross-version	-	java/lang/StrictMath	unsignedMultiplyHigh	(JJ)J	yes	native-builtins/src/lang_math.rs:243	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/StringBuilder	repeat	(CI)Ljava/lang/AbstractStringBuilder;	yes	native-builtins/src/lang_string.rs:247	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/StringBuilder	repeat	(II)Ljava/lang/StringBuilder;	yes	native-builtins/src/lang_string.rs:241	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/StringBuilder	repeat	(Ljava/lang/CharSequence;I)Ljava/lang/StringBuilder;	yes	native-builtins/src/lang_string.rs:555	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/StringUTF16	isBigEndian	()Z	yes	native-builtins/src/lang_string.rs:13986	jdk17-linux,jdk17-mac-x64,jdk17-windows,jdk21-linux,jdk21-mac-x64,jdk21-windows
cross-version	-	java/lang/System$1	addEnableNativeAccess	(Ljava/lang/Module;)Ljava/lang/Module;	yes	native-builtins/src/shared_secrets_bridge.rs:2059	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	addExports	(Ljava/lang/Module;Ljava/lang/String;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1888	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	addExports	(Ljava/lang/Module;Ljava/lang/String;Ljava/lang/Module;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1894	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	addExportsToAllUnnamed	(Ljava/lang/Module;Ljava/lang/String;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1900	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	addOpens	(Ljava/lang/Module;Ljava/lang/String;Ljava/lang/Module;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1906	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	addOpensToAllUnnamed	(Ljava/lang/Module;Ljava/lang/String;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1912	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	addReads	(Ljava/lang/Module;Ljava/lang/Module;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1876	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	addReadsAllUnnamed	(Ljava/lang/Module;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1882	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	addUses	(Ljava/lang/Module;Ljava/lang/Class;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1918	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	blockedOn	(Lsun/nio/ch/Interruptible;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1936	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	currentCarrierThread	()Ljava/lang/Thread;	no	native-builtins/src/lib.rs:34929	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	currentCarrierThread	()Ljava/lang/Thread;	yes	native-builtins/src/shared_secrets_bridge.rs:1864	jdk25-linux,jdk25-mac-x64,jdk25-windows
