# jdk-baseline	2
# kind	class
# name	java.lang.Character
# module	java.base
# java.version	25.0.3
# java.vm.version	25.0.3+9-LTS
# java.vendor.version	Microsoft-13877124
# source	jrt:/modules/java.base/java/lang/Character.class
# generator	scripts/jdk-baseline/generate.py
# regenerate	python scripts/jdk-baseline/generate.py --update
# public-methods	96
# protected-methods	0
# declared-methods	104
# declared-fields	74
# rows	188
# columns	kind	name	descriptor	flags
CLASS	java.lang.Character		public,final
EXTENDS	java.lang.Object		
IMPLEMENTS	java.io.Serializable		
IMPLEMENTS	java.lang.Comparable		
IMPLEMENTS	java.lang.constant.Constable		
SUPERTYPE	java.io.Serializable		
SUPERTYPE	java.lang.Comparable		
SUPERTYPE	java.lang.Object		
SUPERTYPE	java.lang.constant.Constable		
METHOD	<clinit>	()V	static
METHOD	<init>	(C)V	public
METHOD	charCount	(I)I	public,static
METHOD	charValue	()C	public
METHOD	codePointAt	(Ljava/lang/CharSequence;I)I	public,static
METHOD	codePointAt	([CI)I	public,static
METHOD	codePointAt	([CII)I	public,static
METHOD	codePointAtImpl	([CII)I	static
METHOD	codePointBefore	(Ljava/lang/CharSequence;I)I	public,static
METHOD	codePointBefore	([CI)I	public,static
METHOD	codePointBefore	([CII)I	public,static
METHOD	codePointBeforeImpl	([CII)I	static
METHOD	codePointCount	(Ljava/lang/CharSequence;II)I	public,static
METHOD	codePointCount	([CII)I	public,static
METHOD	codePointCountImpl	([CII)I	static
METHOD	codePointOf	(Ljava/lang/String;)I	public,static
METHOD	compare	(CC)I	public,static
METHOD	compareTo	(Ljava/lang/Character;)I	public
METHOD	compareTo	(Ljava/lang/Object;)I	public,bridge,synthetic
METHOD	describeConstable	()Ljava/util/Optional;	public
METHOD	digit	(CI)I	public,static
METHOD	digit	(II)I	public,static
METHOD	equals	(Ljava/lang/Object;)Z	public
METHOD	forDigit	(II)C	public,static
METHOD	getDirectionality	(C)B	public,static
METHOD	getDirectionality	(I)B	public,static
METHOD	getName	(I)Ljava/lang/String;	public,static
METHOD	getNumericValue	(C)I	public,static
METHOD	getNumericValue	(I)I	public,static
METHOD	getType	(C)I	public,static
METHOD	getType	(I)I	public,static
